target,tier,n_wf,cellA,cellB,mae_wf_global_cell,mae_wf_depth_adaptive,gain_from_adapting
minutes,15-24,2403,"{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""2.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""2.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}",4.805095676645248,4.805095676645248,0.0
minutes,25+,3071,"{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""2.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""2.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}",4.658104309400864,4.658104309400864,0.0
fga,0,47,"{""mode"": ""equal"", ""memory_kind"": ""expanding"", ""memory_param"": ""0.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""expanding"", ""memory_param"": ""0.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}",4.187397628884782,4.187397628884782,0.0
fga,1-2,610,"{""mode"": ""equal"", ""memory_kind"": ""expanding"", ""memory_param"": ""0.0"", ""shrink_target"": ""league"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""expanding"", ""memory_param"": ""0.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}",3.1685778203014676,3.149075313040375,0.019502507261092816
fga,3-7,1474,"{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""5.0"", ""shrink_target"": ""league"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""5.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}",2.358641292800145,2.386690414305618,-0.028049121505473007
fga,8-14,1912,"{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""5.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""5.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}",2.3837304279765488,2.38869367143603,-0.00496324345948107
fga,15-24,2403,"{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""3.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""3.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}",2.57300645447042,2.5548930474173144,0.01811340705310549
fga,25+,3071,"{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""5.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""equal"", ""memory_kind"": ""ewma"", ""memory_param"": ""5.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}",2.606817880713637,2.591839191289193,0.014978689424443914
ppm,0,47,"{""mode"": ""ratio_of_prior_sums"", ""memory_kind"": ""expanding"", ""memory_param"": ""0.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""mean_of_prior_ratios"", ""memory_kind"": ""expanding"", ""memory_param"": ""0.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}",0.20636624291327288,0.21764154542919986,-0.011275302515926983
ppm,1-2,610,"{""mode"": ""mean_of_prior_ratios"", ""memory_kind"": ""ewma"", ""memory_param"": ""0.5"", ""shrink_target"": ""league"", ""shrink_k"": ""2.0"", ""floor"": ""0.0""}","{""mode"": ""mean_of_prior_ratios"", ""memory_kind"": ""sma"", ""memory_param"": ""1.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""2.0"", ""floor"": ""0.0""}",0.20164480469868656,0.20104763624328206,0.0005971684554045009
ppm,3-7,1474,"{""mode"": ""mean_of_prior_ratios"", ""memory_kind"": ""ewma"", ""memory_param"": ""3.0"", ""shrink_target"": ""league"", ""shrink_k"": ""2.0"", ""floor"": ""0.0""}","{""mode"": ""mean_of_prior_ratios"", ""memory_kind"": ""ewma"", ""memory_param"": ""5.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""4.0"", ""floor"": ""0.0""}",0.19546818290662937,0.19545631781669714,1.1865089932228123e-05
ppm,8-14,1912,"{""mode"": ""mean_of_prior_ratios"", ""memory_kind"": ""expanding"", ""memory_param"": ""0.0"", ""shrink_target"": ""league"", ""shrink_k"": ""1.0"", ""floor"": ""0.0""}","{""mode"": ""mean_of_prior_ratios"", ""memory_kind"": ""expanding"", ""memory_param"": ""0.0"", ""shrink_target"": ""role"", ""shrink_k"": ""2.0"", ""floor"": ""0.0""}",0.1862973764105242,0.18636614212196723,-6.876571144301402e-05
ppm,15-24,2403,"{""mode"": ""mean_of_prior_ratios"", ""memory_kind"": ""sma"", ""memory_param"": ""15.0"", ""shrink_target"": ""none"", ""shrink_k"": ""0.0"", ""floor"": ""0.0""}","{""mode"": ""mean_of_prior_ratios"", ""memory_kind"": ""ewma"", ""memory_param"": ""12.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""0.5"", ""floor"": ""0.0""}",0.17501300743855583,0.1753469224202749,-0.00033391498171905787
ppm,25+,3071,"{""mode"": ""mean_of_prior_ratios"", ""memory_kind"": ""expanding"", ""memory_param"": ""0.0"", ""shrink_target"": ""league"", ""shrink_k"": ""4.0"", ""floor"": ""0.0""}","{""mode"": ""mean_of_prior_ratios"", ""memory_kind"": ""sma"", ""memory_param"": ""30.0"", ""shrink_target"": ""prior_season"", ""shrink_k"": ""4.0"", ""floor"": ""0.0""}",0.16876234498755321,0.1688222949165548,-5.99499290015737e-05
