screen,candidate,construction_file,construction_line,construction_expr,resolution_kind,auto_class,auto_components,candidate_class,components,component_levels,null_scheme,null_permutes_or_clusters_at,composite_verdict,verdict_reason,evidence,classification_source
E0_I0014_residual_heterogeneity,pl_min_sd5,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,189,"gg.transform(lambda x: x.shift(1).rolling(5, min_periods=3).std())",GENERATED[pl_%s_sd5],ATOMIC,[],ATOMIC,[],[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_min_cv5,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,191,"app[""pl_min_sd5""] / app[""pl_min_mean5""].replace(0, np.nan)",SUBSCRIPT_ASSIGN,COMPOSITE_RATIO,"[""pl_min_sd5"", ""pl_min_mean5""]",COMPOSITE_RATIO,"[""pl_min_sd5"", ""pl_min_mean5""]","[""player-season block, measured vsb=0.2302"", ""player-season block, measured vsb=0.7692""]","BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",permutation_nulls.npz + screen_results,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0014_residual_heterogeneity,pl_min_rng5,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,194,"(gmn.transform(lambda x: x.shift(1).rolling(5, min_periods=3).max()) -",SUBSCRIPT_ASSIGN,UNDETERMINABLE_EXPR,[],UNDETERMINABLE_EXPR,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_fga_sd5,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,189,"gg.transform(lambda x: x.shift(1).rolling(5, min_periods=3).std())",GENERATED[pl_%s_sd5],ATOMIC,[],ATOMIC,[],[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_pts_sd5,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,189,"gg.transform(lambda x: x.shift(1).rolling(5, min_periods=3).std())",GENERATED[pl_%s_sd5],ATOMIC,[],ATOMIC,[],[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_usg_sd5,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,189,"gg.transform(lambda x: x.shift(1).rolling(5, min_periods=3).std())",GENERATED[pl_%s_sd5],ATOMIC,[],ATOMIC,[],[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_min_trend5,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,196,"(gmn.transform(lambda x: x.shift(1).rolling(2, min_periods=2).mean()) -",SUBSCRIPT_ASSIGN,UNDETERMINABLE_EXPR,[],UNDETERMINABLE_EXPR,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_abs_min_trend5,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,198,"app[""pl_min_trend5""].abs()",SUBSCRIPT_ASSIGN,ATOMIC,"[""pl_min_trend5""]",ATOMIC,"[""pl_min_trend5""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_start_switch5,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,204,"app.groupby([""season"", ""player_id""], sort=False)[""_sfchg""].transform(",SUBSCRIPT_ASSIGN,ATOMIC,"[""_sfchg""]",ATOMIC,"[""_sfchg""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_rest_days,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,207,"app.groupby([""season"", ""player_id""], sort=False)[""gdate""].transform(",SUBSCRIPT_ASSIGN,ATOMIC,"[""gdate""]",ATOMIC,"[""gdate""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pl_teamgames_since_appear,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,326,"d[""tm_game_idx""] - d[""_last_ap_idx""] - 1.0",SUBSCRIPT_ASSIGN,COMPOSITE_DIFFERENCE,"[""tm_game_idx"", ""_last_ap_idx""]",COMPOSITE_DIFFERENCE,"[""tm_game_idx"", ""_last_ap_idx""]","[""team-season block, measured vsb=0.0300""]","BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of _last_ap_idx is not on this screen's own record and was not invented here",permutation_nulls.npz + screen_results,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0014_residual_heterogeneity,pl_dnp_frac5,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,328,"1.0 - g[""_apf""].transform(",SUBSCRIPT_ASSIGN,ATOMIC,"[""_apf""]",ATOMIC,"[""_apf""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,tm_rest_days,experiments\exploration\E0_I0019_availability_forecast\s02_build_candidates.py,60,"g[""gdate""].transform(lambda x: (x - x.shift(1)).dt.days).astype(float)",SUBSCRIPT_ASSIGN,COMPOSITE_DIFFERENCE,"[""gdate""]",COMPOSITE_DIFFERENCE,"[""gdate""]",[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of gdate is not on this screen's own record and was not invented here",screen source,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0014_residual_heterogeneity,tm_b2b,experiments\exploration\E0_I0019_availability_forecast\s02_build_candidates.py,61,"(tg[""tm_rest_days""] == 1).astype(float)",SUBSCRIPT_ASSIGN,ATOMIC,"[""tm_rest_days""]",ATOMIC,"[""tm_rest_days""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,tm_3in4,experiments\exploration\E0_I0019_availability_forecast\s02_build_candidates.py,82,"(tg[""tm_n_prior3d""] >= 2).astype(float)",SUBSCRIPT_ASSIGN,ATOMIC,"[""tm_n_prior3d""]",ATOMIC,"[""tm_n_prior3d""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,tm_games_prior7d,experiments\exploration\E0_I0019_availability_forecast\s02_build_candidates.py,79,"_n_in_window(gg[""gdate""], 7)",SUBSCRIPT_ASSIGN,ATOMIC,"[""gdate""]",ATOMIC,"[""gdate""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,opp_rest_days,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,310,,MENTION,UNDETERMINABLE_SITE,[],UNDETERMINABLE_SITE,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,tm_rest_diff,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,312,"T[""tm_rest_days""] - T[""opp_rest_days""]",SUBSCRIPT_ASSIGN,COMPOSITE_DIFFERENCE,"[""tm_rest_days"", ""opp_rest_days""]",COMPOSITE_DIFFERENCE,"[""tm_rest_days"", ""opp_rest_days""]","[""team-season block, measured vsb=0.0031"", ""team-season block, measured vsb=0.0103""]","BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",permutation_nulls.npz + screen_results,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0014_residual_heterogeneity,tm_roster_churn_prior,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,293,,MENTION,UNDETERMINABLE_SITE,[],UNDETERMINABLE_SITE,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,tm_newfaces_prior,experiments\exploration\E0_I0014_residual_heterogeneity\s08_conditioning.py,85,"""mean""",TUPLE_PAIR,UNDETERMINABLE_SITE,[],UNDETERMINABLE_SITE,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,tm_five_tenure_prior,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,294,,MENTION,UNDETERMINABLE_SITE,[],UNDETERMINABLE_SITE,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,tm_five_changed_prior,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,294,,MENTION,UNDETERMINABLE_SITE,[],UNDETERMINABLE_SITE,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,tm_prior_meetings,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,300,"mm.groupby([""season"", ""team_id"", ""opp_team_id""]).cumcount().astype(float)",SUBSCRIPT_ASSIGN,ATOMIC,[],ATOMIC,[],[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,tm_first_meeting,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,301,"(mm[""tm_prior_meetings""] == 0).astype(float)",SUBSCRIPT_ASSIGN,ATOMIC,"[""tm_prior_meetings""]",ATOMIC,"[""tm_prior_meetings""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,tm_is_home,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,304,"T[""is_home""].astype(float)",SUBSCRIPT_ASSIGN,ATOMIC,"[""is_home""]",ATOMIC,"[""is_home""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,tm_game_idx,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,252,float(i),NAME_ASSIGN,ATOMIC,[],ATOMIC,[],[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,opp_game_idx,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,310,,MENTION,UNDETERMINABLE_SITE,[],UNDETERMINABLE_SITE,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,tm_poss_mean_prior,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,309,"""opp_poss_mean_prior""",DICT_VALUE,UNDETERMINABLE_SITE,[],UNDETERMINABLE_SITE,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,opp_poss_mean_prior,experiments\exploration\E0_I0014_residual_heterogeneity\rh_base.py,309,,MENTION,UNDETERMINABLE_SITE,[],UNDETERMINABLE_SITE,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pts__pred_point,experiments\exploration\E0_I0015_points_skill_decomposition\s01_reproduce.py,171,v,SUBSCRIPT_ASSIGN,ATOMIC,[],ATOMIC,[],[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pts__pred_sd,experiments\exploration\E0_I0014_residual_heterogeneity\s05_abstention.py,128,,MENTION,UNDETERMINABLE_SITE,[],UNDETERMINABLE_SITE,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pts__pred_width,experiments\exploration\E0_I0014_residual_heterogeneity\s08_conditioning.py,21,"f[""pts__pred_q95""] - f[""pts__pred_q05""]",SUBSCRIPT_ASSIGN,COMPOSITE_DIFFERENCE,"[""pts__pred_q95"", ""pts__pred_q05""]",COMPOSITE_DIFFERENCE,"[""pts__pred_q95"", ""pts__pred_q05""]",[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,UNDETERMINABLE,"the null permutes the ASSEMBLED column, so the invariant turns on whether any component varies FINER than the permuting entity; the level of pts__pred_q05, pts__pred_q95 is not on this screen's own record and was not invented here",screen source,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0014_residual_heterogeneity,pts__pred_iqr,experiments\exploration\E0_I0014_residual_heterogeneity\s04_screen.py,25,"f[""%s__pred_q75"" % t] - f[""%s__pred_q25"" % t]",GENERATED[%s__pred_iqr],COMPOSITE_DIFFERENCE,[],COMPOSITE_DIFFERENCE,[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0014_residual_heterogeneity,pts__pred_cv,experiments\exploration\E0_I0014_residual_heterogeneity\s04_screen.py,26,"f[""%s__pred_sd"" % t] / f[""%s__pred_point"" % t].replace(0, np.nan)",GENERATED[%s__pred_cv],COMPOSITE_RATIO,[],COMPOSITE_RATIO,[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0014_residual_heterogeneity,pts__is_fallback,experiments\exploration\E0_I0014_residual_heterogeneity\s08_conditioning.py,20,"f[""pts__is_fallback""].astype(float)",SUBSCRIPT_ASSIGN,ATOMIC,"[""pts__is_fallback""]",ATOMIC,"[""pts__is_fallback""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pts__fallback_level,experiments\exploration\E0_I0015_points_skill_decomposition\s03_mechanism_and_abstention.py,223,,MENTION,UNDETERMINABLE_SITE,[],UNDETERMINABLE_SITE,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pts__is_cold_start,experiments\exploration\E0_I0014_residual_heterogeneity\s03_build_frame.py,65,= True],GENERATED[%s__is_cold_start],UNDETERMINABLE_EXPR,[],UNDETERMINABLE_EXPR,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,pts__n_prior_games,experiments\exploration\E0_I0015_points_skill_decomposition\s03_mechanism_and_abstention.py,224,,MENTION,UNDETERMINABLE_SITE,[],UNDETERMINABLE_SITE,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,minutes__pred_point,experiments\exploration\E0_I0015_points_skill_decomposition\psd_base.py,170,,MENTION,UNDETERMINABLE_SITE,[],UNDETERMINABLE_SITE,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,minutes__pred_sd,experiments\exploration\E0_I0015_points_skill_decomposition\s03_mechanism_and_abstention.py,224,,MENTION,UNDETERMINABLE_SITE,[],UNDETERMINABLE_SITE,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,minutes__pred_width,experiments\exploration\E0_I0014_residual_heterogeneity\s04_screen.py,24,"f[""%s__pred_q95"" % t] - f[""%s__pred_q05"" % t]",GENERATED[%s__pred_width],COMPOSITE_DIFFERENCE,[],COMPOSITE_DIFFERENCE,[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0014_residual_heterogeneity,minutes__pred_iqr,experiments\exploration\E0_I0014_residual_heterogeneity\s04_screen.py,25,"f[""%s__pred_q75"" % t] - f[""%s__pred_q25"" % t]",GENERATED[%s__pred_iqr],COMPOSITE_DIFFERENCE,[],COMPOSITE_DIFFERENCE,[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0014_residual_heterogeneity,minutes__pred_cv,experiments\exploration\E0_I0014_residual_heterogeneity\s04_screen.py,26,"f[""%s__pred_sd"" % t] / f[""%s__pred_point"" % t].replace(0, np.nan)",GENERATED[%s__pred_cv],COMPOSITE_RATIO,[],COMPOSITE_RATIO,[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0014_residual_heterogeneity,fga__pred_point,experiments\exploration\E0_I0015_points_skill_decomposition\psd_base.py,171,,MENTION,UNDETERMINABLE_SITE,[],UNDETERMINABLE_SITE,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,fga__pred_sd,experiments\exploration\E0_I0015_points_skill_decomposition\s03_mechanism_and_abstention.py,225,,MENTION,UNDETERMINABLE_SITE,[],UNDETERMINABLE_SITE,[],[],,,UNDETERMINABLE,,,EXPRESSION_PARSE
E0_I0014_residual_heterogeneity,fga__pred_width,experiments\exploration\E0_I0014_residual_heterogeneity\s04_screen.py,24,"f[""%s__pred_q95"" % t] - f[""%s__pred_q05"" % t]",GENERATED[%s__pred_width],COMPOSITE_DIFFERENCE,[],COMPOSITE_DIFFERENCE,[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0014_residual_heterogeneity,fga__pred_iqr,experiments\exploration\E0_I0014_residual_heterogeneity\s04_screen.py,25,"f[""%s__pred_q75"" % t] - f[""%s__pred_q25"" % t]",GENERATED[%s__pred_iqr],COMPOSITE_DIFFERENCE,[],COMPOSITE_DIFFERENCE,[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0014_residual_heterogeneity,fga__pred_cv,experiments\exploration\E0_I0014_residual_heterogeneity\s04_screen.py,26,"f[""%s__pred_sd"" % t] / f[""%s__pred_point"" % t].replace(0, np.nan)",GENERATED[%s__pred_cv],COMPOSITE_RATIO,[],COMPOSITE_RATIO,[],[],"BETWEEN-block reassignment if vsb>0.5 else WITHIN-block shuffle, of the ASSEMBLED column",player-season or team-season,NOT_EXPOSED,"the null permutes the ASSEMBLED column, which moves every component simultaneously; all components are on the screen's own level record at or coarser than the permuting entity",screen source,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0016_efficiency_predictors,A01_opp_efg_allowed,experiments\exploration\E0_I0016_efficiency_predictors\s01_build_frame.py,89,"safe_div(PS[""opp_fgm""] + 0.5 * PS[""opp_fg3m""], PS[""opp_fga""])",SUBSCRIPT_ASSIGN,COMPOSITE_SUM,"[""opp_fga"", ""opp_fgm"", ""opp_fg3m""]",COMPOSITE_SUM,"[""opp_fga"", ""opp_fgm"", ""opp_fg3m""]",{},entity swap within season at the candidate's declared ENTITY,declared entity,NOT_EXPOSED,"IMMUNE BY DESIGN: the screen decomposes every feature into an entity-season MEAN and a mean-free WITHIN component and screens each under a null valid for it, so no component is left without a valid null",ep_base.py:279-291 (decompose); measured shares in MEASURED_COMPONENT_SHARES.csv,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0016_efficiency_predictors,A02_opp_ts_allowed,experiments\exploration\E0_I0016_efficiency_predictors\s01_build_frame.py,90,"safe_div(PS[""opp_pts""], 2.0 * (PS[""opp_fga""] + 0.44 * PS[""opp_fta""]))",SUBSCRIPT_ASSIGN,COMPOSITE_SUM,"[""opp_pts"", ""opp_fga"", ""opp_fta""]",COMPOSITE_SUM,"[""opp_pts"", ""opp_fga"", ""opp_fta""]",{},entity swap within season at the candidate's declared ENTITY,declared entity,NOT_EXPOSED,"IMMUNE BY DESIGN: the screen decomposes every feature into an entity-season MEAN and a mean-free WITHIN component and screens each under a null valid for it, so no component is left without a valid null",ep_base.py:279-291 (decompose); measured shares in MEASURED_COMPONENT_SHARES.csv,EXPRESSION_PARSE + SCREEN_LEVEL_RECORD
E0_I0016_efficiency_predictors,A03_opp_paintpts_allowed,experiments\exploration\E0_I0016_efficiency_predictors\s01_build_frame.py,91,"safe_div(PS[""opp_points_paint""], mt[""_tm_prior_games""])",SUBSCRIPT_ASSIGN,ATOMIC,"[""opp_points_paint"", ""_tm_prior_games""]",ATOMIC,"[""opp_points_paint"", ""_tm_prior_games""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0016_efficiency_predictors,A04_opp_blk,experiments\exploration\E0_I0016_efficiency_predictors\s01_build_frame.py,92,"safe_div(PS[""blk""], mt[""_tm_prior_games""])",SUBSCRIPT_ASSIGN,ATOMIC,"[""blk"", ""_tm_prior_games""]",ATOMIC,"[""blk"", ""_tm_prior_games""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0016_efficiency_predictors,A05_opp_fg3pct_allowed,experiments\exploration\E0_I0016_efficiency_predictors\s01_build_frame.py,93,"safe_div(PS[""opp_fg3m""], PS[""opp_fg3a""])",SUBSCRIPT_ASSIGN,ATOMIC,"[""opp_fg3m"", ""opp_fg3a""]",ATOMIC,"[""opp_fg3m"", ""opp_fg3a""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0016_efficiency_predictors,A06_opp_fg3a_share_allowed,experiments\exploration\E0_I0016_efficiency_predictors\s01_build_frame.py,94,"safe_div(PS[""opp_fg3a""], PS[""opp_fga""])",SUBSCRIPT_ASSIGN,ATOMIC,"[""opp_fg3a"", ""opp_fga""]",ATOMIC,"[""opp_fg3a"", ""opp_fga""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0016_efficiency_predictors,A07_opp_ftrate_allowed,experiments\exploration\E0_I0016_efficiency_predictors\s01_build_frame.py,95,"safe_div(PS[""opp_fta""], PS[""opp_fga""])",SUBSCRIPT_ASSIGN,ATOMIC,"[""opp_fta"", ""opp_fga""]",ATOMIC,"[""opp_fta"", ""opp_fga""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0016_efficiency_predictors,A08_opp_pf,experiments\exploration\E0_I0016_efficiency_predictors\s01_build_frame.py,96,"safe_div(PS[""pf""], mt[""_tm_prior_games""])",SUBSCRIPT_ASSIGN,ATOMIC,"[""pf"", ""_tm_prior_games""]",ATOMIC,"[""pf"", ""_tm_prior_games""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
E0_I0016_efficiency_predictors,A09_opp_stl,experiments\exploration\E0_I0016_efficiency_predictors\s01_build_frame.py,97,"safe_div(PS[""stl""], mt[""_tm_prior_games""])",SUBSCRIPT_ASSIGN,ATOMIC,"[""stl"", ""_tm_prior_games""]",ATOMIC,"[""stl"", ""_tm_prior_games""]",[],,,NOT_APPLICABLE,,,EXPRESSION_PARSE
