artifact,producer,fit_window,fit_window_source,consumer,consumer_experiment_id,scored_seasons,scored_rows,intersects,verdict,reasoning
experiments/channel_reval/run_summary.json (frozen alphas + 6 calibration pairs),experiments/channel_reval/run_reval.py,"610 games, seasons 2021-2023 (latest source observation 2023-10-18)","run_reval.py:57 TRAIN_YEARS=[2021,2022,2023]; run_summary.json calibration.n_train_games=610",dist_margin_cover.py,dist_margin_cover_v1,2024;2025;2026,673 games,NO,VALID,Alphas tuned on inner walk-forward folds strictly inside 2021-2023 and calibrations fit on the 610 train games; latest source observation 2023-10-18 strictly precedes every scored row. Clean under both the season rule and the as-of rule.
experiments/channel_reval/run_summary.json (frozen alphas + 6 calibration pairs),experiments/channel_reval/run_reval.py,"610 games, seasons 2021-2023 (latest source observation 2023-10-18)","run_reval.py:57 TRAIN_YEARS=[2021,2022,2023]; run_summary.json calibration.n_train_games=610",joint_differential.py,joint_differential_v1,2024;2025;2026,673 games,NO,VALID,Alphas tuned on inner walk-forward folds strictly inside 2021-2023 and calibrations fit on the 610 train games; latest source observation 2023-10-18 strictly precedes every scored row. Clean under both the season rule and the as-of rule.
experiments/channel_reval/run_summary.json (frozen alphas + 6 calibration pairs),experiments/channel_reval/run_reval.py,"610 games, seasons 2021-2023 (latest source observation 2023-10-18)","run_reval.py:57 TRAIN_YEARS=[2021,2022,2023]; run_summary.json calibration.n_train_games=610",w2_integration.py,w2_zone_channel_integration_v1,2024;2025;2026,673 games,NO,VALID,Alphas tuned on inner walk-forward folds strictly inside 2021-2023 and calibrations fit on the 610 train games; latest source observation 2023-10-18 strictly precedes every scored row. Clean under both the season rule and the as-of rule.
experiments/channel_reval/run_summary.json (frozen alphas + 6 calibration pairs),experiments/channel_reval/run_reval.py,"610 games, seasons 2021-2023 (latest source observation 2023-10-18)","run_reval.py:57 TRAIN_YEARS=[2021,2022,2023]; run_summary.json calibration.n_train_games=610",w4_refs.py,w4_ref_fta_priors_v1,2024;2025;2026,673 games,NO,VALID,Alphas tuned on inner walk-forward folds strictly inside 2021-2023 and calibrations fit on the 610 train games; latest source observation 2023-10-18 strictly precedes every scored row. Clean under both the season rule and the as-of rule.
experiments/channel_reval/run_summary.json (frozen alphas + 6 calibration pairs),experiments/channel_reval/run_reval.py,"610 games, seasons 2021-2023 (latest source observation 2023-10-18)","run_reval.py:57 TRAIN_YEARS=[2021,2022,2023]; run_summary.json calibration.n_train_games=610",bottomup_3pt.py,bottomup_3pt_channel_v1,2024;2025;2026,team-games 2024-2026,NO,VALID,Alphas tuned on inner walk-forward folds strictly inside 2021-2023 and calibrations fit on the 610 train games; latest source observation 2023-10-18 strictly precedes every scored row. Clean under both the season rule and the as-of rule.
experiments/channel_reval/run_summary.json (frozen alphas + 6 calibration pairs),experiments/channel_reval/run_reval.py,"610 games, seasons 2021-2023 (latest source observation 2023-10-18)","run_reval.py:57 TRAIN_YEARS=[2021,2022,2023]; run_summary.json calibration.n_train_games=610",totals_head.py,totals_head_v1,2024;2025;2026,673 games,NO,VALID,Alphas tuned on inner walk-forward folds strictly inside 2021-2023 and calibrations fit on the 610 train games; latest source observation 2023-10-18 strictly precedes every scored row. Clean under both the season rule and the as-of rule.
experiments/channel_reval/run_summary.json (frozen alphas + 6 calibration pairs),experiments/channel_reval/run_reval.py,"610 games, seasons 2021-2023 (latest source observation 2023-10-18)","run_reval.py:57 TRAIN_YEARS=[2021,2022,2023]; run_summary.json calibration.n_train_games=610",totals_online.py,totals_online_correction_v1,2024;2025;2026,673 games,NO,VALID,Alphas tuned on inner walk-forward folds strictly inside 2021-2023 and calibrations fit on the 610 train games; latest source observation 2023-10-18 strictly precedes every scored row. Clean under both the season rule and the as-of rule.
experiments/channel_reval/run_summary.json (frozen alphas + 6 calibration pairs),experiments/channel_reval/run_reval.py,"610 games, seasons 2021-2023 (latest source observation 2023-10-18)","run_reval.py:57 TRAIN_YEARS=[2021,2022,2023]; run_summary.json calibration.n_train_games=610",oracle_bracket.py,oracle_availability_bracket_v2,2024;2025;2026,627 games,NO,VALID,Alphas tuned on inner walk-forward folds strictly inside 2021-2023 and calibrations fit on the 610 train games; latest source observation 2023-10-18 strictly precedes every scored row. Clean under both the season rule and the as-of rule.
experiments/channel_reval/run_summary.json (frozen alphas + 6 calibration pairs),experiments/channel_reval/run_reval.py,"610 games, seasons 2021-2023 (latest source observation 2023-10-18)","run_reval.py:57 TRAIN_YEARS=[2021,2022,2023]; run_summary.json calibration.n_train_games=610",pocket_mining.py,bet_pocket_mining_v1,2024;2025;2026,bet universe over test games,NO,VALID,Alphas tuned on inner walk-forward folds strictly inside 2021-2023 and calibrations fit on the 610 train games; latest source observation 2023-10-18 strictly precedes every scored row. Clean under both the season rule and the as-of rule.
experiments/channel_reval/run_summary.json (frozen alphas + 6 calibration pairs),experiments/channel_reval/run_reval.py,"610 games, seasons 2021-2023 (latest source observation 2023-10-18)","run_reval.py:57 TRAIN_YEARS=[2021,2022,2023]; run_summary.json calibration.n_train_games=610",clv_transfer.py,clv_transfer_v1,2024;2025;2026,oracle/prediction universe,NO,VALID,Alphas tuned on inner walk-forward folds strictly inside 2021-2023 and calibrations fit on the 610 train games; latest source observation 2023-10-18 strictly precedes every scored row. Clean under both the season rule and the as-of rule.
experiments/channel_reval/run_summary.json (frozen alphas + 6 calibration pairs),experiments/channel_reval/run_reval.py,"610 games, seasons 2021-2023 (latest source observation 2023-10-18)","run_reval.py:57 TRAIN_YEARS=[2021,2022,2023]; run_summary.json calibration.n_train_games=610",daily_forecast.py,prospective_v0,"2026 (live, forward-only)","forecasts/forecast_log.jsonl, first record 2026-07-31T14:28:20Z",NO,VALID,Alphas tuned on inner walk-forward folds strictly inside 2021-2023 and calibrations fit on the 610 train games; latest source observation 2023-10-18 strictly precedes every scored row. Clean under both the season rule and the as-of rule.
experiments/channel_reval/predictions_v2.csv (committed incumbent predictions),experiments/channel_reval/run_reval.py,"610 games, seasons 2021-2023 (latest source observation 2023-10-18)","run_reval.py:57 TRAIN_YEARS=[2021,2022,2023]; run_summary.json calibration.n_train_games=610",every challenger experiment (incumbent baseline + reproduction assert),multiple,2024;2025;2026,673 games,NO,VALID,"Test-season predictions produced by a 2021-2023 fit. Reproduced to 1e-15 by several downstream scripts, which is a strong integrity check on the artifact."
evalharness/frozen_baselines.json (8 reference MAE constants),experiments/channels/ (308-game 2024-25 walk-forward test) + MINUTES_MODEL_SPEC,MEASURED on 2024-2025 games (not a fitted parameter),frozen_baselines.json provenance fields,evalharness/baselines.py tamper check; leaderboards; run_reval/bottomup_3pt/w2,multiple,2024;2025;2026,n/a (reference constants),"N/A (measurement, not a fitted input)",VALID (as used) / NEEDS-REVIEW (as cited),"These constants never enter a prediction - they are compared against, and load_frozen_baselines() is a tamper check that raises on drift. But 9.54 / 10.53 / 11.22 were MEASURED on 2024-25 games, and the 2026-07-31 erratum amendment reclassified the game model's 2024-2026 seasons as DEVELOPMENT/AUDIT data. They remain legitimate references; they can no longer be described as confirmatory."
"bottomup_3pt EB shrinkage K, player-rate alpha, team-trend alpha",bottomup_3pt.py,inner walk-forward folds strictly inside 2021-2023,bottomup_3pt.py:93 TRAIN_YEARS; tune_shrinkage_k/tune_rate_alpha/tune_team_trend_alpha use eh.inner_tuning_splits on the 2024 outer fold's train side,bottomup_3pt.py,bottomup_3pt_channel_v1,2024;2025;2026,,NO,VALID,"K, a_rate and a_team are all selected on folds inside 2021-2023 and frozen before any test season is touched; scored seasons are strictly later."
w4_refs referee-prior shrinkage K,w4_refs.py,inner walk-forward folds strictly inside 2021-2023,w4_refs.py:338 tune_K over K_GRID on inner folds; :129 asserts train==rr.TRAIN_YEARS,w4_refs.py,w4_ref_fta_priors_v1,2024;2025;2026,,NO,VALID,K tuned on train years only; the crew factors themselves are rebuilt walk-forward per game and pass a truncate-and-recompute audit with an explicit non-vacuity check.
minutes EWMA alpha = 0.30 (promoted),minutes_baselines.py,tuned on 2021-2023 via evalharness.inner_tuning_splits,minutes_baselines.py:83-84 TRAIN/TEST_SEASONS; tune_alpha docstring line 184,minutes_twostage.py; oracle_bracket.py; daily_forecast.py (MINUTES_ALPHA); props_edge.py (registered frozen family),minutes_ewma_vs_carryforward_v1 and downstream,2024;2025;2026 and live 2026,,NO,VALID,A single scalar chosen on 2021-2023 folds. No intersection with any scored season.
minutes_twostage ridge/logistic lambdas + coefficient vectors,minutes_twostage.py,"2021-2023 (lambdas on inner folds, betas on the train split)",minutes_twostage.py:81-82 TRAIN/TEST_SEASONS; :850-851 assert train==TRAIN_SEASONS,minutes_twostage.py; oracle_bracket.py (consumes the M2 test predictions),minutes_twostage_availability_v1,2024;2025;2026,,NO,VALID,Fit strictly on 2021-2023. The M2 outputs oracle_bracket consumes are test-season predictions from that fit - clean.
dist_margin_cover sigma = 12.9022 + 610-row empirical residual pool,dist_margin_cover.py,"610 games, seasons 2021-2023; max pool date 2023-10-18",dist_margin_cover.py:330-336 raises SystemExit('PROVENANCE VIOLATION') unless pool seasons == TRAIN_YEARS and max_pool_date < test_start; summary.json provenance_audit,dist_margin_cover.py; pocket_mining.py (sigma + cover machinery); daily_forecast.py (SIGMA_V0),dist_margin_cover_v1; bet_pocket_mining_v1; prospective_v0,2024;2025;2026 and live 2026,,NO,VALID,The strongest provenance discipline in the repo: the script refuses to run if the residual pool contains a test-era row. This is the pattern the rest of the repo should copy.
"experiments/w6_retrospective/zscore_params.json (means, sds, 2 thresholds)",experiments/w6_retrospective/run_w6.py,"train_seasons [2021, 2022, 2023]",zscore_params.json train_seasons field,run_w6.py,w6_microsignal_retrospective_v1,2024;2025;2026,,NO,VALID,"Standardisation stats and both decision thresholds are computed on train seasons only and stored with their provenance - a good example of the manifest habit, informally."
totals_online K = 15,totals_online.py,none - fixed a priori in the registration,totals_online.py:16-17 'Zero fitted or tuned parameters anywhere in this script'; :89,totals_online.py,totals_online_correction_v1,2024;2025;2026,,NO,VALID,"Nothing is fitted, so there is no fit window to intersect."
"totals_head env-spec OLS coefficients (a, b, c) + env tuning",totals_head.py,"610 train games, seasons 2021-2023",totals_head.py fit_window_audit.csv; lstsq_fit on the train split,totals_head.py,totals_head_v1,2024;2025;2026,,NO,VALID,Closed-form OLS fit once on the train games and frozen for test; the file also emits an explicit fit_window_audit.csv.
props_edge EWMA alpha = 0.30 (registered frozen family),props_edge.py,"none - pre-registered constant, never tuned",props_edge.py:203 ALPHA = 0.30,props_edge.py,props_edge_v1,2024;2025;2026,,NO,VALID,"A registered constant, not an estimate. The projection is a strictly-prior EWMA (merge_asof backward, allow_exact_matches=False)."
feature-lab frozen candidate alphas + fixed trait alphas (0.10 / fast / slow),feature_lab.py + features/common.py,"swept on inner folds inside 2021-2023, frozen before 2024 is touched","features/common.py:38-40 SCREEN_SEASONS=[2021..2024], TRAIN_SEASONS=[2021..2023], VAL_SEASON=2024; QUARANTINE_CUTOFF holds 2025-2026 out",feature_lab.py; interactions_lab.py; crossseason_screen.py; bios_screen.py; volume_heterogeneity.py,player_feature_screen_v1 and the four sibling screens,2024 (validation only; 2025-2026 quarantined),,NO,VALID,Alphas are selected on folds strictly inside 2021-2023 and frozen before the 2024 validation season is read. The erratum amendment independently verified this quarantine intact (max source date 2024-09-19). None of these scripts reads rapm_v0 or the zone maps (verified by grep).
"experiments/w2_integration/{game_level_predictions.csv, calibration_params.json}",w2_integration.py,calibration fit on 2021-2023; factors built with the full-sample zone-map K,w2_integration.py:673 k_table = mo.load_k_table(),experiments/coherence_study/coherence_analysis.py,coherence_substitution_rule_v1 / coherence study (reconnaissance),2024;2025;2026,673 games,"YES (transitive, via the zone-map K)",NEEDS-REVIEW,"The coherence study's decomposition consumes w2 game-level predictions and calibration params, which were produced using shrinkage constants estimated over all six seasons. The study's central R2 claim (recombining existing predictions is dead; only new differential information moves the margin) does not obviously turn on the K values, but it is not independently clean and should be re-derived once w2 is rebuilt with a train-only k_table."
"ALL of the above, as consumed by the prospective log",various,"latest source observation 2023-10-18 (calibrations/alphas), 2023 (sigma pool), 2021-2023 (minutes alpha)","daily_forecast.py:112-113 MINUTES_ALPHA=0.30, SIGMA_V0=12.9022; :221 alphas+calibrations read from run_summary.json",daily_forecast.py -> forecasts/forecast_log.jsonl,prospective_v0 / prospective_pockets_v1,2026 (forward-only),hash-chained live records from 2026-07-31,NO,VALID (but UNVERIFIABLE MECHANICALLY - see deliverable C),"Every artifact daily_forecast reads has a latest source observation no later than the 2023 season, decades of forecast-time before the 2026-07-31 live records, and daily_forecast reads no rapm and no zone maps (verified by grep). The invariant HOLDS. It cannot currently be ASSERTED, because none of these artifacts carries a manifest - the check is a human reading constants. That is the gap deliverable C closes."
