screen,file,line,code
E1_I0031_rapm_as_prior,E1_I0031_rapm_as_prior/s05_decompose.py,56,"assert mp[""gdate""].max() < pd.Timestamp(""2025-01-01"")"
E1_I0032_aggregate_stack,E1_I0032_aggregate_stack/scripts/s07_reproduce.py,314,"% (dr2, pr[""p""], pr[""null_sd""], 1.02e-3 / max(abs(dr2), 1e-12)))"
E1_I0033_aggregation_level,E1_I0033_aggregation_level/scripts/s03b_probe2.py,6,"max gap 24, and 36 team-games with no contract player rows at all.  What is missing?"
E1_I0033_aggregation_level,E1_I0033_aggregation_level/scripts/s04_prereg.py,166,the real statistic with maximum deviation EXACTLY 0.0.  A placebo that moves means the
E1_I0033_aggregation_level,E1_I0033_aggregation_level/scripts/s06_topdown_vs_bottomup.py,47,"assert float(np.max(Sw[firsts])) == 0.0, ""a team-season's first row already carries prior mass"""
E1_I0033_aggregation_level,E1_I0033_aggregation_level/scripts/s07_gap_decomposition.py,67,"tfx[""prior_roster_size""] = np.where(Sw > 0, Sn / np.maximum(Sw, 1e-12), np.nan)"
E1_I0034_redistribution,E1_I0034_redistribution/scripts/s06_cells.py,100,"assert float(np.abs(R.loc[R[""posmatch""].isna(), ""u_minutes""]).max()) == 0.0, \"
E1_I0035_availability_sum,E1_I0035_availability_sum/scripts/s04_repairs.py,176,"% (np.mean(PF['scale']), np.min(PF['scale']), np.max(PF['scale'])))"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/scripts/s12_level_fairtest.py,194,"hdr(""4. FAMILY-WISE CORRECTION OVER THE 4 PREREGISTERED CELLS (max-z)"")"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/scripts/s15_findings.py,112,"""family_size_K"": 4, ""multiplicity"": ""max-z over the 4 preregistered cells"","
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/scripts/s15_findings.py,254,"""D-08 family-wise max-z uses independent draws per cell (mildly conservative)""]},"
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/m13_lib.py,514,"""max_abs_normal_vs_student_t"": float(np.max(np.abs(pn - pt_))),"
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/step1_reproduce.py,47,"""min"", ""max"", ""p05"", ""p95""):"
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/step2_variants.py,228,"primary_C = max(fam_C_mode, key=fam_C_mode.get) if fam_C_mode else ""student_t"""
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/step2_variants.py,285,"""C_max_expanding"": int(pdf[""pool_n""].max()) if len(pdf) else None,"
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/step2_variants.py,300,"""normal_loc"": {""min"": float(pdf[""normal_loc""].min()), ""max"": float(pdf[""normal_loc""].max()),"
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/step2_variants.py,303,"""normal_scale"": {""min"": float(pdf[""normal_scale""].min()), ""max"": float(pdf[""normal_scale""].max()),"
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/step2_variants.py,306,"""t_df"": {""min"": int(pdf[""t_df""].min()), ""max"": int(pdf[""t_df""].max()),"
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/step2_variants.py,308,"""t_scale"": {""min"": float(pdf[""t_scale""].min()), ""max"": float(pdf[""t_scale""].max()),"
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/step2_variants.py,310,"""het_b1"": {""min"": float(pdf[""het_b1""].min()), ""max"": float(pdf[""het_b1""].max())},"
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/step3_variantD_and_parquets.py,101,"""family"": fam, ""pool_n_min"": int(min(pooln)), ""pool_n_max"": int(max(pooln)),"
MEASURE_F1_m13_fitpool,MEASURE_F1_m13_fitpool/step6_assemble.py,110,"""max(fit-pool game_date) < eval game_date at every refit.""),"
_screen_kit,_screen_kit/screenkit.py,948,"order-preserving, so `max - min <= tol` means for a boolean exactly what it means for any other"
_screen_kit,_screen_kit/TESTS.py,644,`pd.api.types.is_numeric_dtype` and `groupby.transform('max') - groupby.transform('min')` is
